,"NYC Borough, Block and Lot (BBL)",NYC Building Identification Number (BIN),Primary Property Type - Portfolio Manager-Calculated,Office - Gross Floor Area (ft²),"Office - Worker Density (Number per 1,000 sq ft)",Total GHG Emissions Intensity (kgCO2e/ft²),Latitude,Longitude,Census Tract,Total Workers,Total Emissions,Per capita emissions
0,1009970029,1022631,Office,679759.0,1.86242,4.0,40.756631,-73.982826,119.0,1265996.75678,2719036.0,2.1477432587708467
1,1013150001,1037545,Office,366528.0,4.14157,7.2,40.750698,-73.974306,88.0,1518001.3689599999,2639001.6,1.7384711594878273
3,1013190047,1037596,Office,394646.0,3.13952,7.4,40.753074,-73.972753,90.0,1238999.00992,2920380.4000000004,2.3570482111915196
4,1009950005,1085682,Office,1539113.0,3.07125,7.6,40.756181,-73.986244,119.0,4727000.8012500005,11697258.799999999,2.474562474562474
8,1012980023,1036162,Office,577266.0,1.80852,5.4,40.752424,-73.97532,92.0,1043997.1063199999,3117236.4000000004,2.985866896689006
10,1000480001,1001027,Office,1248923.0,2.61281,7.9,40.709043,-74.010626,7.0,3263198.50363,9866491.700000001,3.023564667924572
11,1008560024,1016880,Office,1513807.0,4.09431,5.7,40.743023,-73.986402,56.0,6197995.13817,8628699.9,1.39217597104274
12,1000350010,1000868,Office,885474.0,3.96059,5.3,40.704553,-74.006636,7.0,3506999.46966,4693012.2,1.3381844624159533
13,1002160001,1082816,Office,1852980.0,4.23696,3.7,40.720659,-74.010098,39.0,7851002.140799999,6856026.0,0.8732676258449455
14,1009960029,1080824,Office,838075.0,1.92107,5.6,40.755942,-73.983324,119.0,1610000.74025,4693220.0,2.915042137975191
18,1012617501,1071414,Office,1779804.0,2.13619,7.3,40.757004,-73.982526,96.0,3801999.5067600003,12992569.2,3.4172990230269775
19,1013000033,1036195,Office,646809.0,2.49465,5.7,40.753104,-73.972757,92.0,1613562.07185,3686811.3000000003,2.284889663880705
20,4004160010,4005016;4005018,Office,767029.0,3.76127,10.3,40.750561,-73.939315,33.0,2885003.16683,7900398.7,2.73843675141641
21,4100990080,4467556,Other,95582.0,1.60072,25.8,40.699839,-73.798418,246.0,153000.01903999998,2466015.6,16.117747013843772
24,1-01289-0014,1035727,Financial Office,111283.6,2.25907,6.9,40.760107,-73.974768,102.0,251397.442252,767856.8400000001,3.054354225411342
25,1-00062-7501,1001068,Office,2281918.0,4.10269,6.2,40.709589,-74.010186,13.0,9362002.15942,14147891.6,1.5112036249387595
26,1010497501,1026318,Mixed Use Property,920504.0,2.49863,9.2,40.767782,-73.982217,145.0,2299998.9095199998,8468636.799999999,3.6820177457246572
27,1-00004-7501,1000005,Office,2537669.0,3.1525,7.7,40.70254,-74.012562,9.0,8000001.5225,19540051.3,2.442505947660587
28,1013010001,1036205,Office,1573122.0,3.70474,8.3,40.754826,-73.975683,92.0,5828007.99828,13056912.600000001,2.2403731435944225
29,1-01276-0058,1085972,Office,1123417.0,4.62874,8.0,40.752236,-73.979712,82.0,5200005.20458,8987336.0,1.7283321162994683
30,1-01258-0009,1034196,Office,1497125.0,5.05369,6.9,40.755352,-73.983732,96.0,7566005.641249999,10330162.5,1.365338989926173
31,1-00016-0120,1000057,Office,1412074.0,3.32844,1.6,40.711425,-74.015442,31704.0,4700003.58456,2259318.4,0.48070567593226854
32,1-00016-0125,1000058,Office,2436524.0,3.61704,7.0,40.711537,-74.015673,31703.0,8813004.76896,17055668.0,1.935284099705837
33,1-00016-0150,1000060,Office,2015588.0,3.02641,6.4,40.714529,-74.015677,31703.0,6099995.679079999,12899763.200000001,2.1147167766429535
34,1007830070,1014387,Office,2171983.0,3.22198,8.8,40.751098,-73.992926,101.0,6998085.78634,19113450.400000002,2.7312397966467827
35,1007819002,1083026,Office,1456325.0,3.20219,6.0,40.750017,-73.991345,101.0,4663429.351749999,8737950.0,1.8737176744665371
36,1008690034,1017595,Office,923733.0,3.514,6.7,40.750504,-73.978865,82.0,3245997.7619999996,6189011.100000001,1.9066590779738195
37,1010280029,1024895,Mixed Use Property,437052.0,4.1185,7.9,40.765015,-73.980416,137.0,1799998.662,3452710.8000000003,1.9181740925094088
38,1012690041,1034532,Office,230675.0,1.36556,5.5,40.760703,-73.975634,104.0,315000.553,1268712.5,4.027651659392483
39,1013137501,1086160;1037168;1037169;1037171,Office,940848.0,6.5898,11.4,40.761887,-73.968421,11203.0,6200000.150400001,10725667.200000001,1.7299462806154966
43,1009940001,1086069,Office,1164662.0,2.29943,4.9,40.755915,-73.986681,113.0,2678058.74266,5706843.800000001,2.130962890803373
44,1013070023,1036467,Office,1049413.0,2.1107,5.6,,,,2214996.0191,5876712.8,2.65314824465817
45,1-00570-7501,1009373,College/University,131670.0,2.29999,6.0,40.734877,-73.994422,61.0,302839.68330000003,790020.0,2.608706994378236
46,1008530002,1088749,Office,1151354.0,5.42839,4.4,,,,6249998.5400600005,5065957.600000001,0.8105534053374942
48,1012670041,1034517,Office,268487.0,3.72458,6.9,40.759789,-73.976544,104.0,1000001.31046,1852560.3,1.8525578722970109
49,1-01258-0021,1034198,Office,840623.0,3.20193,10.7,40.75379,-73.981599,96.0,2691616.00239,8994666.1,3.3417345163698142
50,1-01285-0036,1081146,Office,762933.0,3.76573,6.0,40.756802,-73.974271,102.0,2872999.68609,4577598.0,1.5933165681023334
51,1-01297-0033,1036161,Office,702025.0,2.21126,5.5,40.751049,-73.974252,92.0,1552359.8014999998,3861137.5,2.48726970143719
52,1-01280-9010,1085735,Office,2947757.0,2.21864,8.5,40.754162,-73.976557,92.0,6540011.590480001,25055934.5,3.8311758554790316
53,1-01008-7503,1076177,Multifamily Housing,369742.0,3.29869,4.0,40.764538,-73.979813,137.0,1219664.23798,1478968.0,1.2126025785993835
54,4000790030,4307108,Office,1414803.0,2.55922,4.8,40.746704,-73.943476,19.0,3620792.13366,6791054.399999999,1.8755714631801876
55,4-00079-0030,4307108,Office,1414803.0,2.55922,4.9,40.746704,-73.943476,19.0,3620792.13366,6932534.7,1.9146458686631085
56,4004377501,4000000,Office,437571.0,2.64186,2.6,40.747571,-73.943522,19.0,1156001.32206,1137684.6,0.9841551028442084
57,1013060001,1036460,Office,1798735.0,4.01894,10.8,40.758171,-73.973246,100.0,7229008.040899999,19426338.0,2.687275749326937
58,1-01443-0020,1044756,Other - Specialty Hospital,20520.0,2.29435,11.9,40.76574,-73.959026,118.0,47080.062000000005,244188.0,5.186654172205635
59,1-01282-0034,1035405,Office,448402.0,2.78768,6.1,40.755018,-73.975568,94.0,1250001.28736,2735252.1999999997,2.1881995063995867
60,1012840021,1035439,Office,237258.0,3.41008,4.3,40.756808,-73.976343,94.0,809068.76064,1020209.3999999999,1.2609674846337915
61,1008550037,1016749,Office,518623.0,1.80478,7.8,40.742616,-73.986698,56.0,936000.4179400001,4045259.4,4.321856403550571
62,1012950023,1036147,Office,250074.0,2.0434,4.0,40.750245,-73.976909,80.0,511001.21160000004,1000296.0,1.9575217774297737
63,1000390012,1000880,Office,1068959.3,2.45285,7.8,40.705892,-74.007181,7.0,2621996.8190050004,8337882.54,3.179974315592066
64,1013090023,1036482,Office,420888.0,1.43245,6.1,40.75903,-73.970321,100.0,602901.0156,2567416.8,4.258438339907151
65,1013050013,1036451,Office,324040.0,2.16948,4.4,40.756651,-73.972264,100.0,702998.2992,1425776.0,2.028135774471302
66,1000250001,1000821,Office,400143.0,2.00428,6.9,40.705189,-74.011505,9.0,801998.61204,2760986.7,3.4426327658810147
67,1000100023,1000027,Office,322760.0,2.40116,6.6,40.703973,-74.013164,9.0,774998.4016,2130216.0,2.7486714754535306
68,1013250001,1038464,Office,314371.0,2.37617,6.8,40.756688,-73.970128,98.0,746998.9390700001,2137722.8,2.8617481072482183
69,1000090029,1000021,Office,849807.0,2.15696,7.4,40.703534,-74.014387,9.0,1832999.7067200001,6288571.800000001,3.4307543950745494
70,1012870028,1076267,Office,360242.0,3.73082,6.9,40.758814,-73.973989,102.0,1343998.05844,2485669.8000000003,1.849459368181794
71,1-00786-0001,"1083624,1083626",Office,778712.0,2.45919,5.1,40.753612,-73.992417,109.0,1915000.76328,3971431.1999999997,2.0738535859368326
76,1-00047-7501,1001026,Office,1858900.0,3.16962,4.6,40.708546,-74.011041,7.0,5892006.618,8550940.0,1.4512780711883444
77,1-01278-0069,1035365,Office,242426.0,6.19158,5.7,40.754467,-73.979455,94.0,1500999.97308,1381828.2,0.9206050798019245
78,1012930014,1086164,Office,97821.0,8.15356,8.0,40.762621,-73.973128,11202.0,797589.3927600001,782568.0,0.9811665088623864
79,1012930014,1086164,Office,97821.0,8.15356,8.0,40.762621,-73.973128,11202.0,797589.3927600001,782568.0,0.9811665088623864
82,1012910021,1035770,Office,127158.0,2.09189,5.1,40.761081,-73.97323,102.0,266000.54861999996,648505.7999999999,2.4379867010215643
84,1012770014,1035348,Office,798718.4,5.33229,6.2,40.753383,-73.978871,94.0,4258998.137136,4952054.08,1.1627274585590806
85,1013280001,1038570,Office,1110632.0,2.70116,5.4,40.758744,-73.968618,108.0,2999994.73312,5997412.800000001,1.999141109745443
86,1012670001,1034510,Office,1927376.0,3.11304,8.0,40.760857,-73.979717,104.0,5999998.58304,15419008.0,2.5698352735589647
87,1008070001,1015175,Office,1117964.0,2.87249,5.9,,,,3211340.41036,6595987.600000001,2.0539671156383488
88,1005540001,1008952,Office,1092700.0,3.3193,5.7,40.730842,-73.991402,57.0,3626999.1100000003,6228390.0,1.717229536348025
89,1013120041,1036915,Office,513221.0,3.89338,6.4,40.761398,-73.968183,11203.0,1998164.37698,3284614.4000000004,1.6438159131654246
90,1012670034,1034516,Office,205104.0,3.27151,6.3,40.759432,-73.977122,104.0,670999.7870400001,1292155.2,1.9257162594642838
91,1012870033,1035473,Office,556309.0,2.33683,6.6,40.758224,-73.973231,102.0,1299999.56047,3671639.4,2.8243389549090008
92,1012930026,1036061,Office,195286.0,1.28017,5.5,40.762384,-73.97228,11202.0,249999.27862,1074073.0,4.296304397072264
93,1010070029,1083719,Office,1832312.0,3.05352,8.7,40.762605,-73.97846,137.0,5595001.3382399995,15941114.399999999,2.849170793051953
94,1009200012,1082153,Office,677630.0,2.27805,5.3,40.749076,-73.975682,88.0,1543675.0215,3591439.0,2.3265512170496696
95,1-01022-0043,1024812,Office,2679616.0,2.79891,6.6,40.761574,-73.983962,131.0,7500004.01856,17685465.599999998,2.35806081653215
96,1-01309-0032,1081162,Office,571184.0,1.85312,3.9,40.75859,-73.968759,100.0,1058472.49408,2227617.6,2.104558798135037
98,1-01271-0038,1077363,Office,487735.0,3.36658,4.7,40.762495,-73.975193,104.0,1641998.8963,2292354.5,1.3960755425387188
99,1013060033,1036462,Office,543920.0,3.40859,6.4,40.756924,-73.969976,100.0,1854000.2728,3481088.0,1.8776092167142426
100,1-01293-0069,1036079,Office,437870.0,3.34574,6.5,40.763326,-73.973695,11202.0,1464999.1738,2846155.0,1.9427690137308937
101,1-00998-0029,1076173,Office,997901.0,4.39022,6.0,40.757256,-73.982364,119.0,4381004.92822,5987406.0,1.3666741074479183
102,1012910028,1035771,Office,311179.0,2.2013,5.9,40.760718,-73.972642,102.0,684998.3326999999,1835956.1,2.6802344069413535
104,1-01281-0069,1035401,Office,207430.0,3.23542,5.8,40.755801,-73.97874,94.0,671123.1706,1203094.0,1.7926575220527785
110,1-00862-0029,1017019,Office,897723.0,3.09895,4.8,40.746077,-73.982092,74.0,2781998.69085,4309070.399999999,1.5489117281659917
111,1000240001,1000817,Office,1072213.0,2.47898,5.9,40.705351,-74.011502,9.0,2657994.58274,6326056.7,2.3800111336114047
112,1-01290-0021,1035747,Financial Office,193385.0,2.00119,5.8,40.760354,-73.973454,102.0,387000.12814999995,1121633.0,2.8982755260619935
113,1-01360-7501,1040072,Office,417076.0,1.6055,4.4,40.752925,-73.966834,8603.0,669615.5179999999,1835134.4000000001,2.740579258797883
114,1012900001,1035741,Office,94766.0,2.26875,10.3,40.761131,-73.975295,102.0,215000.3625,976089.8,4.539944903581268
115,1-01006-0013,1076175,Office,816757.0,1.88551,3.6,40.761999,-73.978901,131.0,1540003.49107,2940325.2,1.909297749680458
116,1-01337-7502,1038758,Office,373334.0,4.41934,8.4,40.750441,-73.968676,90.0,1649889.87956,3136005.6,1.9007363090416216
117,1-01337-0014,1038757,Office,406785.0,4.47411,7.2,40.750634,-73.970105,90.0,1820000.8363499998,2928852.0,1.6092586011519612
118,1-01292-0015,1035778,Office,1148924.0,1.74076,1.6,40.762146,-73.972479,11202.0,2000000.94224,1838278.4000000001,0.9191387669753441
974,1-01268-7501,1071418,Office,761476.0,2.85858,5.8,40.760492,-73.977937,104.0,2176740.06408,4416560.8,2.028979423350055
975,1-01005-0029,1023161,Office,1994933.0,2.33441,7.2,40.761244,-73.979457,131.0,4656991.544530001,14363517.6,3.084291105675524
977,1-01289-0052,1035734,Office,182007.0,3.28009,6.4,40.760035,-73.973415,102.0,596999.34063,1164844.8,1.9511659741043692
978,1-00768-0050,1013884,Office,92532.0,2.16141,5.3,40.742093,-73.998528,87.0,199999.59012,490419.6,2.45210302533994
979,1007680050,1013884,Office,92532.0,2.16141,5.3,40.742093,-73.998528,87.0,199999.59012,490419.6,2.45210302533994
980,4004350001,4005157,Office,271937.0,3.46772,5.0,40.748206,-73.943731,19.0,943001.37364,1359685.0,1.4418695857797055
981,1-01021-0026,1024795,Office,631551.0,3.68909,5.3,40.760753,-73.983525,125.0,2329848.47859,3347220.3,1.4366686635457524
983,1013940001,1041900,Office,213746.0,3.28895,4.5,40.763117,-73.969641,11402.0,702999.9066999999,961857.0,1.3682178202769881
986,1-01374-7501,1040766,Office,285562.0,2.05209,4.5,40.763336,-73.970789,11401.0,585998.9245800001,1285029.0,2.1928862769176787
